Contig,Feature,Feature Start in Contig,Feature End in Contig,Feature Direction in Contig,Domain Accession,Domain Start in Feature,Domain End in Feature,E-value,Bit Score,Domain Coverage,Domain Description
FW602_bin_15,HOFBHBDL_00002,671,1678,+,TIGR00611,2,324,7.30E-71,237.1,0.936986301,recf: DNA replication and repair protein RecF
FW602_bin_15,HOFBHBDL_00010,5360,7069,+,TIGR00574,58,565,5.30E-120,399.5,0.998102467,"dnl1: DNA ligase I, ATP-dependent (dnl1)"
FW602_bin_15,HOFBHBDL_00018,12361,12672,+,TIGR00589,5,80,5.70E-18,62.7,0.925,ogt: methylated-DNA--[protein]-cysteine S-methyltransferase
FW602_bin_15,HOFBHBDL_00023,15039,15362,+,TIGR01068,7,104,8.90E-37,123.3,0.97029703,thioredoxin: thioredoxin
FW602_bin_15,HOFBHBDL_00025,15666,16622,+,TIGR01292,15,313,1.80E-117,389.4,1,TRX_reduct: thioredoxin-disulfide reductase
FW602_bin_15,HOFBHBDL_00047,32295,33587,+,TIGR00416,1,411,5.50E-152,504.6,0.938325991,sms: DNA repair protein RadA
FW602_bin_15,HOFBHBDL_00049,35933,37129,+,TIGR01451,50,97,2.80E-09,34.6,0.905660377,B_ant_repeat: conserved repeat domain
FW602_bin_15,HOFBHBDL_00050,37139,37873,+,TIGR01076,105,240,9.20E-13,46.1,0.911764706,sortase_fam: sortase
FW602_bin_15,HOFBHBDL_00051,37927,39138,+,TIGR00767,24,401,1.10E-153,510,0.879518072,rho: transcription termination factor Rho
FW602_bin_15,HOFBHBDL_00057,51034,52092,+,TIGR00360,144,316,9.90E-24,82.5,0.994152047,ComEC_N-term: ComEC/Rec2-related protein
FW602_bin_15,HOFBHBDL_00066,58226,59956,+,TIGR01307,27,298,6.80E-101,336.1,0.545634921,"pgm_bpd_ind: phosphoglycerate mutase (2,3-diphosphoglycerate-independent)"
FW602_bin_15,HOFBHBDL_00071,63131,64507,+,TIGR01039,2,455,9.30E-145,480.9,0.987012987,"atpD: ATP synthase F1, beta subunit"
FW602_bin_15,HOFBHBDL_00075,71277,71960,+,TIGR00096,5,223,3.50E-66,221.4,0.8,TIGR00096: 16S rRNA (cytidine(1402)-2'-O)-methyltransferase
FW602_bin_15,HOFBHBDL_00077,72285,73310,-,TIGR00449,6,337,4.70E-77,257.3,0.89373297,tgt_general: tRNA-guanine family transglycosylase
FW602_bin_15,HOFBHBDL_00082,76340,77350,+,TIGR00904,6,329,1.40E-134,446.3,0.988023952,"mreB: cell shape determining protein, MreB/Mrl family"
FW602_bin_15,HOFBHBDL_00083,77634,78401,+,TIGR00696,64,241,6.00E-32,108.7,0.971910112,"wecG_tagA_cpsF: glycosyltransferase, WecB/TagA/CpsF family"
FW602_bin_15,HOFBHBDL_00084,78384,78902,-,TIGR02937,16,164,1.10E-25,88.1,0.921212121,"sigma70-ECF: RNA polymerase sigma factor, sigma-70 family"
FW602_bin_15,HOFBHBDL_00087,80003,81271,+,TIGR00055,12,237,1.40E-66,222.1,1,"uppS: di-trans,poly-cis-decaprenylcistransferase"
FW602_bin_15,HOFBHBDL_00091,83641,83859,+,TIGR01764,17,61,1.30E-07,29.9,0.87755102,"excise: DNA binding domain, excisionase family"
FW602_bin_15,HOFBHBDL_00095,86996,87403,-,TIGR00855,11,135,3.80E-29,99.6,0.968,L12: ribosomal protein bL12
FW602_bin_15,HOFBHBDL_00099,89126,89551,-,TIGR01632,3,139,1.10E-53,178.9,0.985714286,L11_bact: ribosomal protein uL11
FW602_bin_15,HOFBHBDL_00103,91616,92224,-,TIGR00922,33,202,2.80E-58,194.5,1,nusG: transcription termination/antitermination factor NusG
FW602_bin_15,HOFBHBDL_00104,92224,92406,-,TIGR00964,6,60,3.20E-14,50.6,0.964912281,"secE_bact: preprotein translocase, SecE subunit"
FW602_bin_15,HOFBHBDL_00106,93223,93417,-,TIGR00030,4,55,4.60E-09,34,0.896551724,S21p: ribosomal protein bS21
FW602_bin_15,HOFBHBDL_00113,99211,100638,+,TIGR04085,343,434,1.00E-08,33.5,1,rSAM_more_4Fe4S: radical SAM additional 4Fe4S-binding SPASM domain
FW602_bin_15,HOFBHBDL_00125,110874,111332,+,TIGR01550,60,136,1.00E-13,49.5,0.647540984,DOC_P1: death-on-curing family protein
FW602_bin_15,HOFBHBDL_00141,121674,122057,+,TIGR01509,10,105,1.10E-09,36.6,0.61038961,"HAD-SF-IA-v3: HAD hydrolase, family IA, variant 3"
FW602_bin_15,HOFBHBDL_00149,126985,127176,-,TIGR01023,1,59,1.40E-16,58.5,0.946428571,rpmG_bact: ribosomal protein bL33
FW602_bin_15,HOFBHBDL_00153,129014,129595,+,TIGR00318,7,144,3.90E-17,60.6,0.798850575,cyaB: putative adenylyl cyclase CyaB
FW602_bin_15,HOFBHBDL_00155,129764,130792,-,TIGR00113,1,342,4.80E-117,388.7,0.997101449,queA: S-adenosylmethionine:tRNA ribosyltransferase-isomerase
FW602_bin_15,HOFBHBDL_00161,133158,134036,-,TIGR00460,1,243,8.60E-61,203.7,0.768253968,fmt: methionyl-tRNA formyltransferase
FW602_bin_15,HOFBHBDL_00162,134064,134597,-,TIGR00079,3,160,1.20E-39,133.5,0.931677019,pept_deformyl: peptide deformylase
FW602_bin_15,HOFBHBDL_00164,136649,137695,+,TIGR00904,9,339,4.30E-136,451.3,0.997005988,"mreB: cell shape determining protein, MreB/Mrl family"
FW602_bin_15,HOFBHBDL_00168,140605,142557,+,TIGR01051,3,582,4.30E-220,730.9,0.996835443,topA_bact: DNA topoisomerase I
FW602_bin_15,HOFBHBDL_00170,142930,143610,+,TIGR02274,12,202,4.80E-30,102.5,0.961111111,dCTP_deam: deoxycytidine triphosphate deaminase
FW602_bin_15,HOFBHBDL_00171,143658,144560,+,TIGR02170,73,281,1.60E-42,143.4,0.947867299,"thyX: thymidylate synthase, flavin-dependent"
FW602_bin_15,HOFBHBDL_00173,144975,145667,+,TIGR00041,7,204,7.50E-50,167.3,0.989795918,DTMP_kinase: dTMP kinase
FW602_bin_15,HOFBHBDL_00178,148906,149586,+,TIGR01011,4,221,2.90E-78,260.2,0.968888889,rpsB_bact: ribosomal protein uS2
FW602_bin_15,HOFBHBDL_00179,149615,150079,+,TIGR00116,1,150,4.20E-31,106.2,0.494880546,tsf: translation elongation factor Ts
FW602_bin_15,HOFBHBDL_00180,150085,150639,+,TIGR00496,9,183,3.20E-49,164.9,0.982954545,frr: ribosome recycling factor
FW602_bin_15,HOFBHBDL_00183,152106,153545,+,TIGR00408,5,479,2.70E-170,565.3,0.997894737,proS_fam_I: proline--tRNA ligase
FW602_bin_15,HOFBHBDL_00187,154801,155760,+,TIGR01826,4,317,9.20E-89,295.9,0.990322581,CofD_related: conserved hypothetical protein
FW602_bin_15,HOFBHBDL_00190,156637,157023,+,TIGR00043,37,127,7.80E-13,46.5,0.801801802,TIGR00043: rRNA maturation RNase YbeY
