Contig,Feature,Feature Start in Contig,Feature End in Contig,Feature Direction in Contig,Domain Accession,Domain Start in Feature,Domain End in Feature,E-value,Bit Score,Domain Coverage,Domain Description
NC_004347,IOPOJEFP_00002,954,2504,+,TIGR00924,11,501,2.9E-52,176.2,0.9642105263157895,yjdL_sub1_fam: amino acid/peptide transporter (Peptide:H+ symporter)
NC_004347,IOPOJEFP_00003,2589,3962,-,TIGR00450,14,457,3.8E-102,340.6,1.0,mnmE_trmE_thdF: tRNA modification GTPase TrmE
NC_004347,IOPOJEFP_00004,4058,5683,-,TIGR03593,3,351,2.4E-113,377.4,1.0,"yidC_nterm: membrane protein insertase, YidC/Oxa1 family, N-terminal domain"
NC_004347,IOPOJEFP_00005,5908,6231,-,TIGR00188,6,103,1.9E-28,96.9,0.8828828828828829,rnpA: ribonuclease P protein component
NC_004347,IOPOJEFP_00006,6281,6418,-,TIGR01030,3,45,1.5E-25,87.2,0.9772727272727273,rpmH_bact: ribosomal protein bL34
NC_004347,IOPOJEFP_00007,6873,8255,+,TIGR00362,6,458,5.6E-188,623.4,1.0,DnaA: chromosomal replication initiator protein DnaA
NC_004347,IOPOJEFP_00008,8276,9376,+,TIGR00663,1,366,2.4E-108,360.3,1.0,"dnan: DNA polymerase III, beta subunit"
NC_004347,IOPOJEFP_00009,9539,10621,+,TIGR00611,1,355,2.2E-104,347.5,0.9972602739726028,recf: DNA replication and repair protein RecF
NC_004347,IOPOJEFP_00010,10638,13055,+,TIGR01059,6,805,0.0,1018.2,1.0,"gyrB: DNA gyrase, B subunit"
NC_004347,IOPOJEFP_00013,15180,17246,-,TIGR00211,1,688,1.1E-277,921.5,1.0,"glyS: glycine--tRNA ligase, beta subunit"
NC_004347,IOPOJEFP_00014,17256,18161,-,TIGR00388,8,301,1.1E-169,561.1,0.9965870307167235,"glyQ: glycine--tRNA ligase, alpha subunit"
NC_004347,IOPOJEFP_00015,18279,18854,+,TIGR00624,5,184,2.5E-77,256.6,0.994413407821229,tag: DNA-3-methyladenine glycosylase I
NC_004347,IOPOJEFP_00019,23307,24470,-,TIGR02445,4,387,3.3E-217,718.8,0.9974025974025974,fadA: acetyl-CoA C-acyltransferase FadA
NC_004347,IOPOJEFP_00020,24493,26643,-,TIGR02437,1,714,0.0,1392.9,1.0,"FadB: fatty oxidation complex, alpha subunit FadB"
NC_004347,IOPOJEFP_00022,28404,29018,+,TIGR00257,1,198,1.3E-61,205.6,0.9658536585365853,"IMPACT_YIGZ: uncharacterized protein, YigZ family"
NC_004347,IOPOJEFP_00023,29096,30556,+,TIGR00933,83,469,2.3E-122,406.8,1.0,"2a38: potassium uptake protein, TrkH family"
NC_004347,IOPOJEFP_00027,32252,33694,-,TIGR00933,85,463,7.7E-100,332.7,0.9974424552429667,"2a38: potassium uptake protein, TrkH family"
NC_004347,IOPOJEFP_00029,35131,36417,-,TIGR00563,4,425,9.7E-137,454.6,0.9954233409610984,rsmB: 16S rRNA (cytosine(967)-C(5))-methyltransferase
NC_004347,IOPOJEFP_00030,36420,37376,-,TIGR00460,4,310,3.8E-105,349.4,0.9904761904761905,fmt: methionyl-tRNA formyltransferase
NC_004347,IOPOJEFP_00031,37392,37898,-,TIGR00079,4,160,2.6E-61,203.9,0.9875776397515528,pept_deformyl: peptide deformylase
NC_004347,IOPOJEFP_00033,39244,40260,+,TIGR00732,43,257,1.1E-76,254.9,0.9818181818181818,dprA: DNA protecting protein DprA
NC_004347,IOPOJEFP_00036,41557,42123,+,TIGR00057,9,187,1.1E-41,140.2,0.8811881188118812,"TIGR00057: tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family"
NC_004347,IOPOJEFP_00039,43717,44580,+,TIGR00507,11,283,5.2E-83,276.3,0.9888888888888889,aroE: shikimate dehydrogenase
NC_004347,IOPOJEFP_00047,52004,52459,+,TIGR00738,1,130,1.3E-29,100.7,0.9924242424242424,rrf2_super: Rrf2 family protein
NC_004347,IOPOJEFP_00049,53199,54407,-,TIGR00225,50,367,1.4E-90,301.7,0.9492537313432836,prc: C-terminal processing peptidase
NC_004347,IOPOJEFP_00051,55600,57144,-,TIGR01307,7,510,8.0E-225,745.0,0.998015873015873,"pgm_bpd_ind: phosphoglycerate mutase (2,3-diphosphoglycerate-independent)"
NC_004347,IOPOJEFP_00054,58105,58578,+,TIGR00809,9,147,3.0E-61,203.5,0.9714285714285714,secB: protein-export chaperone SecB
NC_004347,IOPOJEFP_00056,59955,61139,+,TIGR00275,6,392,2.3E-130,433.0,1.0,"TIGR00275: flavoprotein, HI0933 family"
NC_004347,IOPOJEFP_00059,64299,65660,-,TIGR00933,42,425,5.9E-105,349.5,1.0,"2a38: potassium uptake protein, TrkH family"
NC_004347,IOPOJEFP_00065,69588,70895,+,TIGR03071,22,107,9.9E-17,58.9,0.8613861386138614,couple_hipA: HipA N-terminal domain
NC_004347,IOPOJEFP_00066,71134,71667,+,TIGR00177,4,147,7.3E-41,137.5,0.9797297297297297,molyb_syn: molybdenum cofactor synthesis domain
NC_004347,IOPOJEFP_00068,78057,80339,+,TIGR02073,24,756,4.2E-282,936.0,0.9972527472527473,PBP_1c: penicillin-binding protein 1C
NC_004347,IOPOJEFP_00085,95148,95828,-,TIGR01691,3,213,8.0E-71,236.0,0.9330357142857143,"enolase-ppase: 2,3-diketo-5-methylthio-1-phosphopentane phosphatase"
NC_004347,IOPOJEFP_00092,100249,100959,-,TIGR00107,5,234,1.1E-99,330.7,0.9913793103448276,deoD: purine nucleoside phosphorylase
NC_004347,IOPOJEFP_00094,102534,103760,-,TIGR01224,28,404,2.0E-148,492.2,0.9920424403183024,hutI: imidazolonepropionase
NC_004347,IOPOJEFP_00095,103967,104674,+,TIGR02018,4,232,2.4E-99,329.3,0.9956521739130435,his_ut_repres: histidine utilization repressor
NC_004347,IOPOJEFP_00096,104801,106471,+,TIGR01228,10,553,2.2E-293,971.8,0.998165137614679,hutU: urocanate hydratase
NC_004347,IOPOJEFP_00097,106536,108077,+,TIGR01225,8,509,1.9E-215,714.1,0.9901185770750988,hutH: histidine ammonia-lyase
NC_004347,IOPOJEFP_00100,109333,111717,+,TIGR01553,1,791,0.0,1129.9,0.7908820614469773,formate-DH-alph: formate dehydrogenase-N alpha subunit
NC_004347,IOPOJEFP_00101,111720,112634,+,TIGR01582,5,285,1.4E-108,360.3,0.9893992932862191,"FDH-beta: formate dehydrogenase, beta subunit"
NC_004347,IOPOJEFP_00102,112631,113272,+,TIGR01583,10,206,1.9E-52,176.2,0.9754901960784313,"formate-DH-gamm: formate dehydrogenase, gamma subunit"
NC_004347,IOPOJEFP_00103,113272,114180,+,TIGR01562,26,296,6.4E-64,214.4,0.9180327868852459,FdhE: formate dehydrogenase accessory protein FdhE
NC_004347,IOPOJEFP_00104,114238,115659,+,TIGR00474,13,465,1.4E-179,595.7,0.9934065934065934,selA: L-seryl-tRNA(Sec) selenium transferase
NC_004347,IOPOJEFP_00106,117785,118621,+,TIGR00129,26,266,1.8E-73,244.8,0.9873417721518988,fdhD_narQ: formate dehydrogenase family accessory protein FdhD
NC_004347,IOPOJEFP_00126,137207,140014,+,TIGR03296,141,449,4.6E-83,277.3,0.993006993006993,M6dom_TIGR03296: M6 family metalloprotease domain
NC_004347,IOPOJEFP_00132,143381,144142,-,TIGR02355,12,251,7.2E-137,452.4,1.0,moeB: molybdopterin synthase sulfurylase MoeB
NC_004347,IOPOJEFP_00133,144154,145488,-,TIGR00177,214,348,6.8E-32,108.4,0.9797297297297297,molyb_syn: molybdenum cofactor synthesis domain
NC_004347,IOPOJEFP_00135,146606,149839,-,TIGR00254,632,793,3.0E-42,142.1,0.9702380952380952,GGDEF: diguanylate cyclase (GGDEF) domain
NC_004347,IOPOJEFP_00136,150203,150856,-,TIGR00506,13,209,3.0E-74,246.9,0.9950980392156863,"ribB: 3,4-dihydroxy-2-butanone-4-phosphate synthase"
NC_004347,IOPOJEFP_00152,168071,169612,-,TIGR00224,5,512,2.3E-192,638.5,0.9661654135338346,pckA: phosphoenolpyruvate carboxykinase (ATP)
NC_004347,IOPOJEFP_00155,171350,172276,+,TIGR01713,28,303,7.5E-57,190.8,0.972972972972973,typeII_sec_gspC: type II secretion system protein C
NC_004347,IOPOJEFP_00156,172301,174415,+,TIGR02517,33,623,5.3E-158,525.1,0.9983333333333333,type_II_gspD: type II secretion system protein D
NC_004347,IOPOJEFP_00157,174412,175977,+,TIGR02533,35,518,4.2E-221,732.7,0.9979423868312757,type_II_gspE: type II secretion system protein E
NC_004347,IOPOJEFP_00158,175981,177204,+,TIGR02120,4,405,3.7E-177,587.5,1.0,GspF: type II secretion system protein F
NC_004347,IOPOJEFP_00159,177279,177713,+,TIGR01710,8,139,2.3E-57,190.7,1.0,typeII_sec_gspG: type II secretion system protein G
NC_004347,IOPOJEFP_00160,177721,178287,+,TIGR01708,3,180,4.1E-20,70.1,0.9798657718120806,typeII_sec_gspH: type II secretion system protein H
NC_004347,IOPOJEFP_00161,178274,178642,+,TIGR01707,6,103,3.0E-29,99.5,0.9702970297029703,gspI: type II secretion system protein I
NC_004347,IOPOJEFP_00162,178623,179390,+,TIGR01711,10,200,4.2E-49,164.9,0.9947916666666666,gspJ: type II secretion system protein J
NC_004347,IOPOJEFP_00164,180434,181621,+,TIGR01709,5,394,4.8E-129,428.8,1.0,typeII_sec_gspL: type II secretion system protein L
NC_004347,IOPOJEFP_00167,182935,183597,-,TIGR01509,68,184,1.8E-11,42.4,0.7337662337662337,"HAD-SF-IA-v3: HAD hydrolase, family IA, variant 3"
NC_004347,IOPOJEFP_00177,191382,192473,+,TIGR03032,22,353,7.2E-141,466.9,0.9970149253731343,TIGR03032: TIGR03032 family protein
NC_004347,IOPOJEFP_00178,192488,200056,+,TIGR03501,2299,2320,0.0018,17.0,1.0,GlyGly_CTERM: GlyGly-CTERM domain
NC_004347,IOPOJEFP_00180,200915,201727,+,TIGR01331,7,256,6.1E-94,312.3,0.992,"bisphos_cysQ: 3'(2'),5'-bisphosphate nucleotidase"
NC_004347,IOPOJEFP_00184,204956,206086,-,TIGR03167,19,349,1.3E-110,367.7,0.9871382636655949,tRNA_sel_U_synt: tRNA 2-selenouridine synthase
NC_004347,IOPOJEFP_00185,206086,207144,-,TIGR00476,13,319,1.2E-137,456.2,0.9967845659163987,"selD: selenide, water dikinase"
NC_004347,IOPOJEFP_00194,213570,214670,-,TIGR02143,11,364,8.3E-186,615.0,0.9943181818181818,trmA_only: tRNA (uracil(54)-C(5))-methyltransferase
NC_004347,IOPOJEFP_00195,214726,215634,+,TIGR00067,34,257,3.9E-73,243.9,0.896414342629482,glut_race: glutamate racemase
NC_004347,IOPOJEFP_00205,223639,224664,+,TIGR00179,7,332,1.2E-84,282.0,1.0,murB: UDP-N-acetylenolpyruvoylglucosamine reductase
NC_004347,IOPOJEFP_00206,224657,225616,+,TIGR00121,83,317,1.0E-61,206.5,0.9872340425531915,birA_ligase: biotin--[acetyl-CoA-carboxylase] ligase
NC_004347,IOPOJEFP_00207,225619,226569,-,TIGR00554,12,316,1.6E-143,475.6,0.993485342019544,panK_bact: pantothenate kinase
NC_004347,IOPOJEFP_00212,227280,228464,+,TIGR00485,1,393,2.8E-233,771.6,0.9974619289340102,EF-Tu: translation elongation factor Tu
NC_004347,IOPOJEFP_00213,228741,229112,+,TIGR00964,68,121,7.7E-17,59.0,0.9473684210526315,"secE_bact: preprotein translocase, SecE subunit"
NC_004347,IOPOJEFP_00214,229122,229673,+,TIGR00922,11,182,7.0E-67,222.5,0.9941860465116279,nusG: transcription termination/antitermination factor NusG
NC_004347,IOPOJEFP_00215,229801,230229,+,TIGR01632,3,141,1.6E-64,214.0,0.9928571428571429,L11_bact: ribosomal protein uL11
NC_004347,IOPOJEFP_00216,230234,230935,+,TIGR01169,3,228,6.5E-106,350.8,0.9955947136563876,rplA_bact: ribosomal protein uL1
NC_004347,IOPOJEFP_00218,231756,232124,+,TIGR00855,1,122,2.3E-45,152.0,1.0,L12: ribosomal protein bL12
NC_004347,IOPOJEFP_00219,232367,236404,+,TIGR02013,8,1342,0.0,1915.1,1.0,"rpoB: DNA-directed RNA polymerase, beta subunit"
NC_004347,IOPOJEFP_00220,236488,240705,+,TIGR02386,20,1367,0.0,1795.6,0.998256320836966,"rpoC_TIGR: DNA-directed RNA polymerase, beta' subunit"
NC_004347,IOPOJEFP_00221,240885,241259,+,TIGR00981,1,123,3.1E-69,228.6,0.9919354838709677,rpsL_bact: ribosomal protein uS12
NC_004347,IOPOJEFP_00222,241340,241810,+,TIGR01029,3,156,5.7E-69,228.9,1.0,rpsG_bact: ribosomal protein uS7
NC_004347,IOPOJEFP_00223,241889,243985,+,TIGR00484,1,697,0.0,1199.5,0.9971056439942113,EF-G: translation elongation factor G
NC_004347,IOPOJEFP_00224,244057,245241,+,TIGR00485,1,393,1.2E-233,772.9,0.9974619289340102,EF-Tu: translation elongation factor Tu
NC_004347,IOPOJEFP_00225,245573,245884,+,TIGR01049,4,101,2.8E-46,153.8,0.98989898989899,rpsJ_bact: ribosomal protein uS10
NC_004347,IOPOJEFP_00226,245912,246550,+,TIGR03625,4,207,2.9E-89,296.2,1.0,L3_bact: 50S ribosomal protein uL3
NC_004347,IOPOJEFP_00227,246568,247173,+,TIGR03953,13,198,8.5E-74,244.9,0.9946808510638298,rplD_bact: 50S ribosomal protein uL4
NC_004347,IOPOJEFP_00229,247492,248316,+,TIGR01171,4,273,8.6E-130,430.0,0.9927272727272727,rplB_bact: ribosomal protein uL2
NC_004347,IOPOJEFP_00230,248331,248609,+,TIGR01050,1,91,1.7E-46,154.4,1.0,rpsS_bact: ribosomal protein uS19
NC_004347,IOPOJEFP_00231,248625,248957,+,TIGR01044,5,107,3.6E-49,163.3,1.0,rplV_bact: ribosomal protein uL22
NC_004347,IOPOJEFP_00232,248967,249659,+,TIGR01009,1,209,3.1E-97,322.4,0.9905660377358491,rpsC_bact: ribosomal protein uS3
NC_004347,IOPOJEFP_00233,249671,250081,+,TIGR01164,2,126,3.1E-56,186.9,1.0,rplP_bact: ribosomal protein uL16
NC_004347,IOPOJEFP_00234,250081,250272,+,TIGR00012,5,60,2.2E-23,80.0,1.0,L29: ribosomal protein uL29
NC_004347,IOPOJEFP_00235,250272,250520,+,TIGR03635,6,76,9.3E-39,129.3,0.9861111111111112,uS17_bact: ribosomal protein uS17
NC_004347,IOPOJEFP_00236,250698,251066,+,TIGR01067,1,122,1.4E-56,187.6,1.0,rplN_bact: ribosomal protein uL14
NC_004347,IOPOJEFP_00237,251078,251392,+,TIGR01079,3,102,4.7E-38,127.8,0.9807692307692307,rplX_bact: ribosomal protein uL24
NC_004347,IOPOJEFP_00241,252688,253221,+,TIGR03654,2,176,5.8E-71,235.8,1.0,L6_bact: ribosomal protein uL6
NC_004347,IOPOJEFP_00242,253232,253582,+,TIGR00060,3,116,2.8E-42,141.7,1.0,L18_bact: ribosomal protein uL18
NC_004347,IOPOJEFP_00243,253595,254098,+,TIGR01021,10,164,2.8E-70,233.1,0.9935897435897436,rpsE_bact: ribosomal protein uS5
NC_004347,IOPOJEFP_00244,254105,254287,+,TIGR01308,6,60,2.6E-26,89.0,1.0,rpmD_bact: ribosomal protein uL30
NC_004347,IOPOJEFP_00245,254291,254725,+,TIGR01071,2,143,9.5E-49,162.9,1.0,rplO_bact: ribosomal protein uL15
NC_004347,IOPOJEFP_00246,254733,256073,+,TIGR00967,19,426,8.8E-134,444.4,1.0,"3a0501s007: preprotein translocase, SecY subunit"
NC_004347,IOPOJEFP_00247,256095,256208,+,TIGR01022,1,37,2.8E-22,76.5,1.0,rpmJ_bact: ribosomal protein bL36
NC_004347,IOPOJEFP_00248,256323,256679,+,TIGR03631,3,114,1.1E-52,175.2,1.0,uS13_bact: ribosomal protein uS13
NC_004347,IOPOJEFP_00249,256694,257086,+,TIGR03632,11,127,3.6E-55,183.4,1.0,uS11_bact: ribosomal protein uS11
NC_004347,IOPOJEFP_00250,257118,257738,+,TIGR01017,3,206,2.1E-85,283.5,1.0,rpsD_bact: ribosomal protein uS4
NC_004347,IOPOJEFP_00251,257763,258752,+,TIGR02027,24,315,1.5E-110,367.0,0.9932885906040269,"rpoA: DNA-directed RNA polymerase, alpha subunit"
NC_004347,IOPOJEFP_00252,258793,259188,+,TIGR00059,7,116,2.2E-49,164.4,0.9821428571428571,L17: ribosomal protein bL17
NC_004347,IOPOJEFP_00255,261023,261223,-,TIGR03141,10,55,5.4E-22,75.6,0.9787234042553191,cytochro_ccmD: heme exporter protein CcmD
NC_004347,IOPOJEFP_00256,261223,261969,-,TIGR01191,45,228,2.7E-77,256.8,1.0,ccmC: heme exporter protein CcmC
NC_004347,IOPOJEFP_00257,261971,262657,-,TIGR01190,14,224,3.5E-91,302.5,1.0,ccmB: heme exporter protein CcmB
