id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn12008_c0	<	Cytosol_0	(kb|g.220339.CDS.3163 or kb|g.220339.CDS.1894)	rxn12008_c0		22.53		(1)  cpd00012[c0] + (1)  cpd02557[c0] <= (1)  cpd00113[c0] + (1)  cpd02590[c0]	(1)  PPi_c0[c0] + (1)  Farnesylfarnesylgeraniol_c0[c0] <= (1)  Isopentenyldiphosphate_c0[c0] + (1)  all-trans-Heptaprenyl diphosphate_c0[c0]	rxn12008	HEPTT	R05611		
rxn00541_c0	=	Cytosol_0	(kb|g.220339.CDS.3524 or kb|g.220339.CDS.1349)	L-Threonine acetaldehyde-lyase_c0		3.21		(1)  cpd00161[c0] <=> (1)  cpd00033[c0] + (1)  cpd00071[c0]	(1)  L-Threonine_c0[c0] <=> (1)  Glycine_c0[c0] + (1)  Acetaldehyde_c0[c0]	rxn00541	GLY1	R00751	Glycine, serine and threonine metabolism	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|GLYCINE-SYN|GLYSYN-THR-PWY|IND-AMINO-ACID-SYN|THREOCAT-PWY|THREONINE-DEG
rxn00225_c0	=	Cytosol_0	kb|g.220339.CDS.359	ATP:acetate phosphotransferase_c0		-5.36		(1)  cpd00002[c0] + (1)  cpd00029[c0] + (1)  cpd00067[c0] <=> (1)  cpd00008[c0] + (1)  cpd00196[c0]	(1)  ATP_c0[c0] + (1)  Acetate_c0[c0] + (1)  H+_c0[c0] <=> (1)  ADP_c0[c0] + (1)  Acetylphosphate_c0[c0]	rxn00225	ACKr	R00315	Taurine and hypotaurine metabolism|Pyruvate metabolism|Methane metabolism|Carbon fixation pathways in prokaryotes	ACETATEUTIL-PWY|AROMATIC-COMPOUNDS-DEGRADATION|Acetate-Formation|Acetyl-CoA-Butyrate|Amino-Acid-Degradation|CARBOXYLATES-DEG|Carbohydrates-Degradation|Degradation|Energy-Metabolism|FERMENTATION-PWY|Fermentation|GALLATE-DEG|LYSINE-DEG|METH-ACETATE-PWY|METHANOGENESIS|NUCLEO-DEG|Other-Degradation|P124-PWY|P142-PWY|P161-PWY|P163-PWY|P164-PWY|P3-PWY|P41-PWY|P441-PWY|P461-PWY|PROPFERM-PWY|PWY0-1312|Purine-Degradation|Pyruvate-Degradation|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides
rxn01199_c0	=	Cytosol_0	(kb|g.220339.CDS.1666 or kb|g.220339.CDS.2045 or kb|g.220339.CDS.207)	ATP:D-xylulose 5-phosphotransferase_c0		-14.08		(1)  cpd00002[c0] + (1)  cpd00259[c0] <=> (1)  cpd00008[c0] + (1)  cpd00198[c0]	(1)  ATP_c0[c0] + (1)  D-Lyxulose_c0[c0] <=> (1)  ADP_c0[c0] + (1)  D-Xylulose5-phosphate_c0[c0]	rxn01199	XKS1	R01639	Pentose and glucuronate interconversions	Carbohydrates-Degradation|DARABITOLUTIL-PWY|Degradation|LARABITOLUTIL-PWY|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides|XYLCAT-PWY|Xylose-Degradation
rxn10215_c0	>	Cytosol_0	kb|g.220339.CDS.2032	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0		-3.614		(1)  cpd11434[c0] + (1)  cpd15672[c0] => (1)  cpd00010[c0] + (1)  cpd15678[c0]	(1)  fa12coa_c0[c0] + (1)  1-anteisoheptadecanoyl-sn-glycerol 3-phosphate_c0[c0] => (1)  CoA_c0[c0] + (1)  1,2-dianteisoheptadecanoyl-sn-glycerol 3-phosphate_c0[c0]	rxn10215				
rxn02483_c0	>	Cytosol_0	kb|g.220339.CDS.78	4-Carboxymuconolactone carboxy-lyase_c0	4.1.1.44	1.17		(1)  cpd00067[c0] + (1)  cpd00938[c0] => (1)  cpd00011[c0] + (1)  cpd02255[c0]	(1)  H+_c0[c0] + (1)  4-Carboxymuconolactone_c0[c0] => (1)  CO2_c0[c0] + (1)  3-oxoadipate-enol-lactone_c0[c0]	rxn02483	4CMLCL-kt	R03470	Benzoate degradation	AROMATIC-COMPOUNDS-DEGRADATION|Catechol-Degradation|Degradation|PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY|Protocatechuate-Degradation|TOLUENE-DEG
rxn00802_c0	=	Cytosol_0	kb|g.220339.CDS.3065	N-(L-Argininosuccinate) arginie-lyase_c0		7.34		(1)  cpd02152[c0] <=> (1)  cpd00051[c0] + (1)  cpd00106[c0]	(1)  L-Argininosuccinate_c0[c0] <=> (1)  L-Arginine_c0[c0] + (1)  Fumarate_c0[c0]	rxn00802		R01086	Alanine, aspartate and glutamate metabolism|Arginine and proline metabolism	ARG+POLYAMINE-SYN|ARGININE-DEG|ARGININE-SYN|ARGININE-SYN4-PWY|ARGSYN-PWY|ARGSYNBSUB-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Citrulline-Biosynthesis|Degradation|IND-AMINO-ACID-SYN|Metabolic-Regulators|NITROGEN-DEG|Nitric-Oxide-Biosynthesis|Noncarbon-Nutrients|Other-Amino-Acid-Biosynthesis|Polyamine-Biosynthesis
rxn03638_c0	>	Cytosol_0	(kb|g.220339.CDS.100 and kb|g.220339.CDS.100)	Acetyl-CoA:D-glucosamine-1-phosphate N-acetyltransferase_c0		-5.29		(1)  cpd00022[c0] + (1)  cpd03671[c0] => (1)  cpd00010[c0] + (1)  cpd00067[c0] + (1)  cpd02611[c0]	(1)  Acetyl-CoA_c0[c0] + (1)  D-Glucosamine1-phosphate_c0[c0] => (1)  CoA_c0[c0] + (1)  H+_c0[c0] + (1)  N-Acetyl-D-glucosamine1-phosphate_c0[c0]	rxn03638	G1PACTr	R05332	Amino sugar and nucleotide sugar metabolism	Biosynthesis|Cell-Structure-Biosynthesis|Cell-Wall-Biosynthesis|Lipopolysaccharide-Biosynthesis|O-Antigen-Biosynthesis|OANTIGEN-PWY|Polyamine-Biosynthesis|UDP-NAc-Glucosamine-Biosynthesis|UDPNAGSYN-PWY
rxn08851_c0	=	Cytosol_0	(kb|g.220339.CDS.910 or kb|g.220339.CDS.38)	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:1)_c0		-336.2		(1)  cpd00001[c0] + (1)  cpd15349[c0] <=> (1)  cpd00067[c0] + (1)  cpd02090[c0] + (1)  cpd15269[c0]	(1)  H2O_c0[c0] + (1)  2-Acyl-sn-glycero-3-phosphoglycerol octadec-11-enoyl_c0[c0] <=> (1)  H+_c0[c0] + (1)  Glycerophosphoglycerol_c0[c0] + (1)  octadecenoate_c0[c0]	rxn08851	LPLIPAL2G181			
rxn03541_c0	=	Cytosol_0	kb|g.220339.CDS.718	adenosylcobinamide amidohydrolase_c0		0.46		(1)  cpd02039[c0] + (1)  cpd03917[c0] <=> (1)  cpd00001[c0] + (1)  cpd03918[c0]	(1)  1-Aminopropan-2-ol_c0[c0] + (1)  Adenosylcobyric acid_c0[c0] <=> (1)  H2O_c0[c0] + (1)  Adenosyl cobinamide_c0[c0]	rxn03541	ADCOBASr	R05226	Porphyrin and chlorophyll metabolism	
