Contig,Feature,Feature Start in Contig,Feature End in Contig,Feature Direction in Contig,Domain Accession,Domain Start in Feature,Domain End in Feature,E-value,Bit Score,Domain Coverage,Domain Description
FW602_bin_15,HOFBHBDL_00001,33,671,+,PF06831.13,71,156,1.60E-22,79.2,0.945652174,Formamidopyrimidine-DNA glycosylase H2TH domain
FW602_bin_15,HOFBHBDL_00002,671,1678,+,PF02463.18,1,328,4.40E-20,72,0.936363636,RecF/RecN/SMC N terminal domain
FW602_bin_15,HOFBHBDL_00006,2693,3532,+,PF01256.16,26,270,1.90E-30,106,0.991803279,Carbohydrate kinase
FW602_bin_15,HOFBHBDL_00008,4081,5148,+,PF02661.17,104,207,2.10E-19,70.1,0.979381443,Fic/DOC family
FW602_bin_15,HOFBHBDL_00010,5360,7069,+,PF01068.20,221,423,1.00E-51,175.4,1,ATP dependent DNA ligase domain
FW602_bin_15,HOFBHBDL_00013,8700,10178,-,PF13231.5,64,213,8.10E-06,26,0.955974843,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00014,10254,10574,+,PF09685.9,17,94,1.90E-06,27.8,0.781818182,Domain of unknown function (DUF4870)
FW602_bin_15,HOFBHBDL_00015,10714,11112,+,PF01195.18,1,125,1.10E-28,100.2,0.75625,Peptidyl-tRNA hydrolase
FW602_bin_15,HOFBHBDL_00017,11370,12359,+,PF00188.25,213,321,1.70E-14,54.7,0.928571429,Cysteine-rich secretory protein family
FW602_bin_15,HOFBHBDL_00018,12361,12672,+,PF01035.19,5,85,5.40E-27,93.6,0.987654321,"6-O-methylguanine DNA methyltransferase, DNA binding domain"
FW602_bin_15,HOFBHBDL_00023,15039,15362,+,PF00085.19,5,104,1.60E-31,108.2,0.961538462,Thioredoxin
FW602_bin_15,HOFBHBDL_00025,15666,16622,+,PF07992.13,16,299,1.10E-52,179,0.98630137,Pyridine nucleotide-disulphide oxidoreductase
FW602_bin_15,HOFBHBDL_00026,16646,17407,+,PF13462.5,67,133,6.80E-09,36,0.403614458,Thioredoxin
FW602_bin_15,HOFBHBDL_00026,16646,17407,+,PF13462.5,167,249,6.80E-23,81.5,0.5,Thioredoxin
FW602_bin_15,HOFBHBDL_00027,17411,17941,-,PF00588.18,27,170,3.40E-29,101.8,0.992957746,SpoU rRNA Methylase family
FW602_bin_15,HOFBHBDL_00028,18029,19240,-,PF00534.19,218,374,2.00E-30,105.5,0.86627907,Glycosyl transferases group 1
FW602_bin_15,HOFBHBDL_00032,19792,20421,+,PF13624.5,77,149,8.00E-12,45.1,0.469135802,SurA N-terminal domain
FW602_bin_15,HOFBHBDL_00035,21151,21738,+,PF00300.21,3,188,7.10E-41,139.9,0.974226804,Histidine phosphatase superfamily (branch 1)
FW602_bin_15,HOFBHBDL_00036,21731,22321,+,PF05168.13,31,110,8.90E-11,41.9,0.661016949,HEPN domain
FW602_bin_15,HOFBHBDL_00039,24362,25636,+,PF06925.10,80,172,1.00E-04,22.3,0.544378698,Monogalactosyldiacylglycerol (MGDG) synthase
FW602_bin_15,HOFBHBDL_00043,29457,29915,+,PF00961.18,7,109,5.00E-16,59.4,0.990196078,LAGLIDADG endonuclease
FW602_bin_15,HOFBHBDL_00045,30647,31696,+,PF00575.22,101,167,1.70E-09,37.7,0.946666667,S1 RNA binding domain
FW602_bin_15,HOFBHBDL_00045,30647,31696,+,PF00575.22,187,258,3.10E-18,65.8,0.96,S1 RNA binding domain
FW602_bin_15,HOFBHBDL_00045,30647,31696,+,PF00575.22,274,338,8.90E-14,51.5,0.96,S1 RNA binding domain
FW602_bin_15,HOFBHBDL_00047,32295,33587,+,PF06745.12,69,157,6.80E-10,38.6,0.393939394,KaiC
FW602_bin_15,HOFBHBDL_00049,35933,37129,+,PF01345.17,51,138,4.20E-08,33.3,0.846153846,Domain of unknown function DUF11
FW602_bin_15,HOFBHBDL_00050,37139,37873,+,PF04203.12,105,241,3.60E-19,68.7,0.992,Sortase family
FW602_bin_15,HOFBHBDL_00051,37927,39138,+,PF07497.11,25,95,4.80E-25,87.1,0.98630137,"Rho termination factor, RNA-binding domain"
